id,name,note,product_id,unit_id,product_type_id,has_limit
1,High,Storage & Organization,1,5,6,0
2,Not Specified,Storage & Organization,2,35,96,0
3,Critical,Binders and Binder Accessories,3,3,41,0
4,Low,Chairs & Chairmats,4,49,292,0
5,Low,Chairs & Chairmats,5,45,101,0
6,Low,Storage & Organization,6,7,155,0
7,Critical,Paper,7,2,9,0
8,Critical,Paper,8,2,15,0
9,Critical,Binders and Binder Accessories,9,3,41,0
10,Low,Storage & Organization,10,7,155,0
11,Critical,Paper,11,2,9,0
12,Critical,Paper,12,2,15,0
13,High,Pens & Art Supplies,13,1,4,0
14,Low,Office Machines,14,24,575,0
15,High,Office Furnishings,15,21,21,0
16,High,Binders and Binder Accessories,16,3,6,0
17,High,Tables,17,52,213,0
18,High,Pens & Art Supplies,18,1,4,0
19,Low,Computer Peripherals,19,17,43,0
20,Low,Office Machines,20,24,575,0
21,Low,Paper,21,2,10,0
22,High,Office Furnishings,22,21,21,0
23,Not Specified,Office Machines,23,15,213,0
24,Critical,Paper,24,6,5,0
25,Critical,Telephones and Communication,25,3,111,0
26,High,Tables,26,52,213,0
27,Critical,Binders and Binder Accessories,27,6,3,0
28,Critical,Paper,28,2,4,0
29,High,Chairs & Chairmats,29,30,351,0
30,Critical,Binders and Binder Accessories,30,6,3,0
31,Critical,Paper,31,2,4,0
32,High,Chairs & Chairmats,32,30,351,0
33,Not Specified,Paper,33,6,8,0
34,High,Computer Peripherals,34,2,28,0
35,High,Telephones and Communication,35,6,206,0
36,Medium,Storage & Organization,36,5,6,0
37,Critical,Office Furnishings,37,12,194,0
38,Critical,Office Furnishings,38,21,210,0
39,Not Specified,Chairs & Chairmats,39,43,244,0
40,Critical,Chairs & Chairmats,40,1,2,0
41,Critical,Chairs & Chairmats,41,53,21,0
42,Critical,Tables,42,6,5,0
43,Critical,Telephones and Communication,43,5,126,0
44,Not Specified,Paper,44,6,8,0
45,High,Computer Peripherals,45,2,28,0
46,High,Telephones and Communication,46,6,206,0
47,Medium,Storage & Organization,47,5,6,0
48,Critical,Office Furnishings,48,12,194,0
49,Critical,Office Furnishings,49,21,210,0
50,Critical,Office Machines,50,18,145,0
51,Not Specified,Chairs & Chairmats,51,43,244,0
52,High,Office Machines,52,26,121,0
53,Critical,Chairs & Chairmats,53,1,2,0
54,Critical,Telephones and Communication,54,5,126,0
55,Medium,Office Furnishings,55,5,7,0
56,Not Specified,Chairs & Chairmats,56,30,151,0
57,Not Specified,Storage & Organization,57,14,28,0
58,Not Specified,Telephones and Communication,58,1,36,0
59,Critical,Pens & Art Supplies,59,1,2,0
60,Not Specified,Computer Peripherals,60,2,2,0
61,Not Specified,Paper,61,5,31,0
62,Critical,Bookcases,62,45,881,0
63,Low,Paper,63,9,6,0
64,Low,Storage & Organization,64,35,20,0
65,Low,Bookcases,65,36,101,0
66,Medium,Binders and Binder Accessories,66,6,8,0
67,Medium,Office Furnishings,67,5,7,0
68,Not Specified,Chairs & Chairmats,68,30,151,0
69,Not Specified,Storage & Organization,69,14,28,0
70,Not Specified,Telephones and Communication,70,1,36,0
71,Critical,Pens & Art Supplies,71,1,2,0
72,Not Specified,Computer Peripherals,72,2,2,0
73,Not Specified,Paper,73,5,31,0
74,High,Pens & Art Supplies,74,4,3,0
75,Critical,Bookcases,75,45,881,0
76,Low,Storage & Organization,76,35,20,0
77,Low,Bookcases,77,36,101,0
78,Medium,Binders and Binder Accessories,78,5,2,0
79,Medium,Copiers and Fax,79,24,700,0
80,Medium,Office Machines,80,24,6783,0
81,Medium,Binders and Binder Accessories,81,9,21,0
82,Medium,Computer Peripherals,82,15,74,0
83,Low,Telephones and Communication,83,6,66,0
84,Low,Pens & Art Supplies,84,1,2,0
85,High,Binders and Binder Accessories,85,13,16,0
86,Medium,Binders and Binder Accessories,86,5,2,0
87,Medium,Copiers and Fax,87,24,700,0
88,Medium,Office Machines,88,24,6783,0
89,Medium,Computer Peripherals,89,15,74,0
90,High,Telephones and Communication,90,6,66,0
91,High,Binders and Binder Accessories,91,13,16,0
92,High,Office Furnishings,92,9,23,0
93,Not Specified,Appliances,93,4,15,0
94,High,Labels,94,1,4,0
95,High,Office Furnishings,95,9,23,0
96,High,Binders and Binder Accessories,96,20,897,0
97,Not Specified,Appliances,97,4,15,0
98,High,Pens & Art Supplies,98,9,12,0
99,Not Specified,Labels,99,7,4,0
100,Not Specified,Pens & Art Supplies,100,1,3,0
101,Not Specified,Binders and Binder Accessories,101,8,5,0
102,Not Specified,Pens & Art Supplies,102,4,3,0
103,Low,Pens & Art Supplies,103,2,3,0
104,Low,Telephones and Communication,104,9,126,0
105,Not Specified,Rubber Bands,105,5,3,0
